Source	Target	Type	Label	Weight
210	20	Directed	Owns	0.370000
210	23	Directed	Owns	0.110000
211	7	Directed	Owns	0.190000
211	20	Directed	Owns	0.150000
211	24	Directed	Owns	0.130000
212	7	Directed	Owns	0.160000
212	20	Directed	Owns	0.190000
212	23	Directed	Owns	0.180000
212	24	Directed	Owns	0.220000
213	7	Directed	Owns	0.140000
213	24	Directed	Owns	0.550000
214	7	Directed	Owns	0.140000
214	20	Directed	Owns	0.370000
214	23	Directed	Owns	0.570000
214	24	Directed	Owns	0.670000
215	7	Directed	Owns	0.140000
215	20	Directed	Owns	0.200000
215	23	Directed	Owns	0.240000
215	24	Directed	Owns	0.240000
216	7	Directed	Owns	0.140000
216	20	Directed	Owns	0.140000
216	23	Directed	Owns	0.150000
216	24	Directed	Owns	0.140000
217	7	Directed	Owns	0.140000
217	20	Directed	Owns	0.140000
217	23	Directed	Owns	0.140000
217	24	Directed	Owns	0.140000
218	7	Directed	Owns	0.130000
218	20	Directed	Owns	0.140000
218	23	Directed	Owns	0.160000
218	24	Directed	Owns	0.210000
219	7	Directed	Owns	0.130000
219	20	Directed	Owns	0.120000
219	23	Directed	Owns	0.130000
219	24	Directed	Owns	0.120000
220	7	Directed	Owns	0.130000
220	20	Directed	Owns	0.120000
220	23	Directed	Owns	0.210000
220	24	Directed	Owns	0.450000
221	7	Directed	Owns	0.120000
222	7	Directed	Owns	0.110000
222	16	Directed	Owns	0.280000
222	20	Directed	Owns	0.190000
222	23	Directed	Owns	0.190000
223	7	Directed	Owns	0.110000
223	20	Directed	Owns	0.100000
223	23	Directed	Owns	0.120000
223	24	Directed	Owns	0.130000
226	8	Directed	Owns	0.220000
227	8	Directed	Owns	0.050000
228	8	Directed	Owns	0.020000
229	8	Directed	Owns	0.020000
230	8	Directed	Owns	0.020000
231	8	Directed	Owns	0.020000
235	10	Directed	Owns	29.070000
236	10	Directed	Owns	5.000000
237	10	Directed	Owns	4.960000
238	10	Directed	Owns	0.090000
238	13	Directed	Owns	6.000000
239	10	Directed	Owns	3.170000
240	10	Directed	Owns	0.410000
241	10	Directed	Owns	0.290000
242	10	Directed	Owns	0.280000
242	19	Directed	Owns	0.320000
243	10	Directed	Owns	0.280000
244	10	Directed	Owns	0.240000
244	23	Directed	Owns	0.110000
245	10	Directed	Owns	0.200000
245	19	Directed	Owns	0.970000
245	23	Directed	Owns	0.310000
246	10	Directed	Owns	0.190000
247	10	Directed	Owns	0.180000
247	23	Directed	Owns	0.500000
248	10	Directed	Owns	0.150000
249	10	Directed	Owns	0.150000
250	10	Directed	Owns	0.130000
251	10	Directed	Owns	0.130000
252	10	Directed	Owns	0.130000
253	10	Directed	Owns	0.120000
254	10	Directed	Owns	0.120000
255	10	Directed	Owns	0.110000
255	24	Directed	Owns	0.130000
256	10	Directed	Owns	0.100000
256	19	Directed	Owns	0.240000
257	10	Directed	Owns	0.100000
257	17	Directed	Owns	0.920000
257	20	Directed	Owns	0.260000
257	23	Directed	Owns	0.210000
258	10	Directed	Owns	0.100000
259	10	Directed	Owns	0.100000
260	10	Directed	Owns	0.100000
285	12	Directed	Owns	100.000000
286	13	Directed	Owns	53.090000
287	13	Directed	Owns	20.000000
288	13	Directed	Owns	17.000000
289	13	Directed	Owns	0.780000
290	13	Directed	Owns	0.200000
291	13	Directed	Owns	0.020000
292	13	Directed	Owns	0.020000
308	16	Directed	Owns	9.990000
309	16	Directed	Owns	7.180000
309	19	Directed	Owns	0.400000
309	22	Directed	Owns	11.000000
310	16	Directed	Owns	6.570000
311	16	Directed	Owns	5.290000
312	16	Directed	Owns	3.730000
313	16	Directed	Owns	3.390000
314	16	Directed	Owns	2.510000
315	16	Directed	Owns	2.050000
316	16	Directed	Owns	2.030000
317	16	Directed	Owns	1.930000
318	16	Directed	Owns	1.620000
319	16	Directed	Owns	0.940000
320	16	Directed	Owns	0.440000
321	16	Directed	Owns	0.300000
321	22	Directed	Owns	0.350000
322	16	Directed	Owns	0.260000
323	16	Directed	Owns	0.160000
323	22	Directed	Owns	0.140000
323	23	Directed	Owns	0.170000
324	16	Directed	Owns	0.120000
325	16	Directed	Owns	0.100000
326	16	Directed	Owns	0.090000
327	16	Directed	Owns	0.050000
328	16	Directed	Owns	0.020000
332	16	Directed	Owns	0.010000
333	16	Directed	Owns	0.010000
334	16	Directed	Owns	0.010000
340	16	Directed	Owns	0.010000
341	16	Directed	Owns	0.010000
342	16	Directed	Owns	0.010000
346	17	Directed	Owns	8.990000
346	19	Directed	Owns	4.800000
347	17	Directed	Owns	8.430000
348	17	Directed	Owns	5.120000
349	17	Directed	Owns	5.000000
350	17	Directed	Owns	3.190000
351	17	Directed	Owns	3.170000
352	17	Directed	Owns	0.660000
353	17	Directed	Owns	0.540000
354	17	Directed	Owns	0.490000
355	17	Directed	Owns	0.320000
356	17	Directed	Owns	0.160000
357	17	Directed	Owns	0.130000
360	17	Directed	Owns	0.010000
365	19	Directed	Owns	7.800000
366	19	Directed	Owns	5.610000
367	19	Directed	Owns	4.900000
368	19	Directed	Owns	4.200000
369	19	Directed	Owns	3.380000
370	19	Directed	Owns	3.300000
371	19	Directed	Owns	3.060000
372	19	Directed	Owns	2.900000
373	19	Directed	Owns	2.000000
374	19	Directed	Owns	1.200000
375	19	Directed	Owns	0.950000
376	19	Directed	Owns	0.900000
377	19	Directed	Owns	0.890000
378	19	Directed	Owns	0.620000
379	19	Directed	Owns	0.480000
380	19	Directed	Owns	0.310000
381	19	Directed	Owns	0.210000
